chart_position,release_date,track_name,track_id,popularity,duration_ms,track_number,artists,album_name,album_url,track_url,genre,extraction_date
50,2024-12-27,back to friends,0FTmksd2dxiE5e3rWyJXs6,96,199032,1,sombr,back to friends,https://open.spotify.com/album/0QLILSOq1IqAqx62drmv4E,https://open.spotify.com/track/0FTmksd2dxiE5e3rWyJXs6,Unknown,2025-05-27
51,2024-04-11,Residuals,4t4rGgiVX7woTmlnW9SHJ7,76,215178,13,Chris Brown,11:11 (Deluxe),https://open.spotify.com/album/5onhEG8O3aKdg9b4lIdkNz,https://open.spotify.com/track/4t4rGgiVX7woTmlnW9SHJ7,r&b,2025-05-27
52,2025-01-05,DtMF,3sK8wGT43QFpWrvNQsrQya,97,237117,16,Bad Bunny,DeBÍ TiRAR MáS FOToS,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb,https://open.spotify.com/track/3sK8wGT43QFpWrvNQsrQya,reggaeton,2025-05-27
53,2024-05-03,Love Me Not,1UNEuG9DYOWiikf00ayr52,88,213466,1,Ravyn Lenae,Love Me Not / Love Is Blind,https://open.spotify.com/album/6YHaDmwYvX8vREotCZTV6g,https://open.spotify.com/track/1UNEuG9DYOWiikf00ayr52,alternative r&b,2025-05-27
54,2024-07-12,Am I Okay?,36wAwEkSDpNQ4oQeRLYC3L,81,235002,1,Megan Moroney,Am I Okay?,https://open.spotify.com/album/7l80BDHxpZwj8FXImqH8fw,https://open.spotify.com/track/36wAwEkSDpNQ4oQeRLYC3L,country,2025-05-27
55,2025-03-21,I'm A Little Crazy,7igCS2ZsfV7bvxuhF4XgiQ,83,199060,1,Morgan Wallen,I'm A Little Crazy,https://open.spotify.com/album/2X9QdcBHMkoj4ekbZa3QId,https://open.spotify.com/track/7igCS2ZsfV7bvxuhF4XgiQ,country,2025-05-27
56,2025-03-21,undressed,4AajxCEwGEsmHmT4H1TwjY,95,182088,1,sombr,undressed,https://open.spotify.com/album/19m6pwPmwNFSPV7wtHtg7D,https://open.spotify.com/track/4AajxCEwGEsmHmT4H1TwjY,Unknown,2025-05-27
57,2020-05-15,party 4 u,2RdEC8Ff83WkX7kDVCHseE,92,296653,9,Charli xcx,how i'm feeling now,https://open.spotify.com/album/3a9qH2VEsSiOZvMrjaS0Nu,https://open.spotify.com/track/2RdEC8Ff83WkX7kDVCHseE,hyperpop,2025-05-27
58,2024-12-19,ME JALO,3D24ErT1MMmUfXWotSj2A2,92,212002,1,"Fuerza Regida, Grupo Frontera",MALA MÍA,https://open.spotify.com/album/5utxE1ImIDJFXRHf137hoy,https://open.spotify.com/track/3D24ErT1MMmUfXWotSj2A2,corrido,2025-05-27
59,2025-02-14,SOMEBODY LOVES ME,2kZoOj1n5vk9BuF0sih58M,82,182767,16,"PARTYNEXTDOOR, Drake",$ome $exy $ongs 4 U,https://open.spotify.com/album/6Rl6YoCarF2GHPSQmmFjuR,https://open.spotify.com/track/2kZoOj1n5vk9BuF0sih58M,dark r&b,2025-05-27
60,2024-08-30,DENIAL IS A RIVER,1eTaznNW4Xxtx9za2SMTXB,89,159586,4,Doechii,Alligator Bites Never Heal,https://open.spotify.com/album/60UzB8mOCMpc7xkuJE6Bwc,https://open.spotify.com/track/1eTaznNW4Xxtx9za2SMTXB,Unknown,2025-05-27
61,2024-11-15,Texas,3yU9fLsuDYjzVyZW2FLUqY,74,170106,1,Blake Shelton,Texas,https://open.spotify.com/album/32EJshiL5lZHoDJEoZVowz,https://open.spotify.com/track/3yU9fLsuDYjzVyZW2FLUqY,country,2025-05-27
62,2024-10-25,YOUR WAY'S BETTER,4qrbjoNP9NZwe79Rg9IlFU,76,198082,1,Forrest Frank,YOUR WAY'S BETTER,https://open.spotify.com/album/6BDk028UnxaR4py1gf8Vtk,https://open.spotify.com/track/4qrbjoNP9NZwe79Rg9IlFU,christian hip hop,2025-05-27
63,2024-08-09,After All The Bars Are Closed,0oBbkZuDLkT8DY9DK67kfr,75,191839,1,Thomas Rhett,After All The Bars Are Closed,https://open.spotify.com/album/07gfJHUBVX2VxXovVuUGjA,https://open.spotify.com/track/0oBbkZuDLkT8DY9DK67kfr,country,2025-05-27
64,2024-11-22,peekaboo (feat. azchike),2Uts1QFB4u2YNIMiqcb4de,85,155917,9,"Kendrick Lamar, AZ Chike",GNX,https://open.spotify.com/album/0hvT3yIEysuuvkK73vgdcW,https://open.spotify.com/track/2Uts1QFB4u2YNIMiqcb4de,hip hop,2025-05-27
65,2025-02-21,Revolving door,541sN2qNfIlllGn9nGOQoC,91,180032,3,Tate McRae,So Close To What,https://open.spotify.com/album/3w32SV56JvtJXsrYtThwzP,https://open.spotify.com/track/541sN2qNfIlllGn9nGOQoC,Unknown,2025-05-27
66,2025-03-28,twilight zone,1YRbAonLvmuUILvQso0gUM,83,198320,15,Ariana Grande,eternal sunshine deluxe: brighter days ahead,https://open.spotify.com/album/6cbwstHlsAIIWurIIXXBPd,https://open.spotify.com/track/1YRbAonLvmuUILvQso0gUM,pop,2025-05-27
67,2024-08-23,Fix What You Didn't Break,0GJ8peTqHq9pu5Yf2vHjjX,72,201555,1,Nate Smith,Fix What You Didn't Break,https://open.spotify.com/album/7d0hS6Qa9gXEjwlbsJbaEr,https://open.spotify.com/track/0GJ8peTqHq9pu5Yf2vHjjX,country,2025-05-27
68,2025-01-05,BAILE INoLVIDABLE,2lTm559tuIvatlT1u0JYG2,96,367725,3,Bad Bunny,DeBÍ TiRAR MáS FOToS,https://open.spotify.com/album/5K79FLRUCSysQnVESLcTdb,https://open.spotify.com/track/2lTm559tuIvatlT1u0JYG2,reggaeton,2025-05-27
69,2024-12-31,Smile,3MJ6lFNV12FSHAOzTzkwxz,81,224127,1,Morgan Wallen,Smile,https://open.spotify.com/album/7j7HmSHKK9cp1jmPgqVNjX,https://open.spotify.com/track/3MJ6lFNV12FSHAOzTzkwxz,country,2025-05-27
